country,country_code,indicator_id,age_band,value,source_id,indicator_label_en,indicator_label_ar
Norway,NO,USAGE_GENAI_3M,16-24,79.7,EUROSTAT_2025_NO,Used generative AI tools (last 3 months),استخدام أدوات الذكاء الاصطناعي التوليدي (آخر 3 أشهر)
Norway,NO,USAGE_GENAI_3M,25-34,71.5,EUROSTAT_2025_NO,Used generative AI tools (last 3 months),استخدام أدوات الذكاء الاصطناعي التوليدي (آخر 3 أشهر)
Norway,NO,USAGE_GENAI_3M,16-74,56.3,EUROSTAT_2025_NO,Used generative AI tools (last 3 months),استخدام أدوات الذكاء الاصطناعي التوليدي (آخر 3 أشهر)
Sweden,SE,USAGE_GENAI_3M,16-24,67.0,EUROSTAT_2025_SE,Used generative AI tools (last 3 months),استخدام أدوات الذكاء الاصطناعي التوليدي (آخر 3 أشهر)
Sweden,SE,USAGE_GENAI_3M,25-34,58.4,EUROSTAT_2025_SE,Used generative AI tools (last 3 months),استخدام أدوات الذكاء الاصطناعي التوليدي (آخر 3 أشهر)
Sweden,SE,USAGE_GENAI_3M,16-74,42.0,EUROSTAT_2025_SE,Used generative AI tools (last 3 months),استخدام أدوات الذكاء الاصطناعي التوليدي (آخر 3 أشهر)
Finland,FI,USAGE_GENAI_3M,16-24,67.1,EUROSTAT_2025_FI,Used generative AI tools (last 3 months),استخدام أدوات الذكاء الاصطناعي التوليدي (آخر 3 أشهر)
Finland,FI,USAGE_GENAI_3M,25-34,65.2,EUROSTAT_2025_FI,Used generative AI tools (last 3 months),استخدام أدوات الذكاء الاصطناعي التوليدي (آخر 3 أشهر)
Finland,FI,USAGE_GENAI_3M,16-74,46.3,EUROSTAT_2025_FI,Used generative AI tools (last 3 months),استخدام أدوات الذكاء الاصطناعي التوليدي (آخر 3 أشهر)
Germany,DE,USAGE_GENAI_3M,16-24,52.7,EUROSTAT_2025_DE,Used generative AI tools (last 3 months),استخدام أدوات الذكاء الاصطناعي التوليدي (آخر 3 أشهر)
Germany,DE,USAGE_GENAI_3M,25-34,53.2,EUROSTAT_2025_DE,Used generative AI tools (last 3 months),استخدام أدوات الذكاء الاصطناعي التوليدي (آخر 3 أشهر)
Germany,DE,USAGE_GENAI_3M,16-74,32.3,EUROSTAT_2025_DE,Used generative AI tools (last 3 months),استخدام أدوات الذكاء الاصطناعي التوليدي (آخر 3 أشهر)
France,FR,USAGE_GENAI_3M,16-24,76.5,EUROSTAT_2025_FR,Used generative AI tools (last 3 months),استخدام أدوات الذكاء الاصطناعي التوليدي (آخر 3 أشهر)
France,FR,USAGE_GENAI_3M,25-34,56.0,EUROSTAT_2025_FR,Used generative AI tools (last 3 months),استخدام أدوات الذكاء الاصطناعي التوليدي (آخر 3 أشهر)
France,FR,USAGE_GENAI_3M,16-74,37.5,EUROSTAT_2025_FR,Used generative AI tools (last 3 months),استخدام أدوات الذكاء الاصطناعي التوليدي (آخر 3 أشهر)
