question_id,part,part_label,theme,construct,question_en,question_ar,scale,indicator_ids,segment
Q2.01,Part 2,Awareness & Knowledge,AI Skills & Confidence,Self-rated AI knowledge,How would you rate your current level of knowledge about AI technologies?,كيف تقيّم مستواك الحالي في المعرفة بتقنيات الذكاء الاصطناعي؟,Extensive / Good / Basic / Almost nothing,,General Population
Q2.03,Part 2,Awareness & Knowledge,AI Skills & Confidence,Understand traditional vs generative AI,Do you understand the difference between traditional AI and Generative AI (such as ChatGPT)?,هل تفهم الفرق بين الذكاء الاصطناعي التقليدي والتوليدي؟,Well / Basic / No / Not at all,,General Population
Q2.04,Part 2,Awareness & Knowledge,AI Skills & Confidence,"Understand AI terms (ML, NLP, CV, NN, Big Data)","To what extent do you understand the following terms: ML, NLP, Computer Vision, Neural Networks, Big Data?",إلى أي مدى تفهم المصطلحات التالية: تعلم الآلة، معالجة اللغة، الرؤية الحاسوبية، الشبكات العصبية، البيانات الضخمة؟,Well / Basic / Not,,General Population
Q2.05,Part 2,Awareness & Knowledge,AI Skills & Confidence,Follow AI news,Do you regularly follow AI news and developments?,هل تتابع بانتظام أخبار وتطورات الذكاء الاصطناعي؟,Daily / Weekly / Monthly / Rarely / Never,,General Population
Q2.06,Part 2,Awareness & Knowledge,AI Skills & Confidence,Importance of learning AI,How important is learning about AI for your future?,ما مدى أهمية تعلم الذكاء الاصطناعي لمستقبلك؟,Essential / Very / Moderately / Slightly / Not,,General Population
Q3.01,Part 3,AI Usage,AI Usage,Ever used AI tools,"Have you ever used any AI tools or applications (e.g. ChatGPT, Gemini, Copilot, Midjourney)?",هل سبق لك استخدام أي أدوات أو تطبيقات للذكاء الاصطناعي؟,Yes / No,USAGE_GENAI_3M,General Population
Q3.02,Part 3,AI Usage,AI Usage,Types of AI tools used,What AI tools have you used or are still using? (multi-select),ما أدوات الذكاء الاصطناعي التي استخدمتها أو ما زلت تستخدمها؟,Text / Translation / Speech / Code / Image-Video / Editing / Data / Chatbots / Other,USAGE_TOOL_TEXT,General Population
Q3.03,Part 3,AI Usage,AI Usage,Frequency of AI tool use,How often do you use AI tools on average?,كم مرة تستخدم أدوات الذكاء الاصطناعي في المتوسط؟,Daily / Several times a week / Weekly / Monthly / Rarely,USAGE_FREQ_SUPER,General Population
Q3.04,Part 3,AI Usage,AI Usage,When started using AI,How long ago did you start using AI tools?,منذ متى بدأت باستخدام أدوات الذكاء الاصطناعي؟,<1 month ... >2 years,,General Population
Q3.05,Part 3,AI Usage,AI Usage,How learned to use AI,How did you learn to use these tools? (multi-select),كيف تعلمت استخدام هذه الأدوات؟,Trial / YouTube / Courses / School / Work / Friends / Social / Other,,General Population
Q3.06,Part 3,AI Usage,AI Usage,Paid AI subscription,Do you have a paid subscription to any AI tools?,هل لديك اشتراك مدفوع في أي أدوات ذكاء اصطناعي؟,Personal / Institution / Free / Would like,USAGE_SUBSCRIPTION,General Population
Q3.07,Part 3,AI Usage,AI Usage,Experience with AI tools,How would you rate your experience with AI tools so far?,كيف تقيّم تجربتك مع أدوات الذكاء الاصطناعي حتى الآن؟,Excellent / Good / Average / Poor,,General Population
Q3.08,Part 3,AI Usage,Non-use & Barriers,Reasons for not using AI,What are the main reasons for not using AI tools? (multi-select),ما الأسباب الرئيسية لعدم استخدام أدوات الذكاء الاصطناعي؟,Unaware / Don't know how / No need / Distrust / Privacy / Cost / Device / Prefer traditional / Other,NONUSE_NO_NEED|NONUSE_DIFFICULT|NONUSE_PRIVACY,NONUSE_NO_NEED|NONUSE_DONTKNOW|NONUSE_PRIVACY|NONUSE_UNAWARE
Q4.03,Part 4,High School Students,AI Usage,AI for homework,Do you use AI for doing homework or understanding school subjects?,هل تستخدم الذكاء الاصطناعي لأداء الواجبات أو فهم المواد الدراسية؟,Always / Sometimes / Rarely / Never,USAGE_EDUCATION,USAGE_EDUCATION|USAGE_STUDENT
Q4.04,Part 4,High School Students,AI Usage,AI in school projects,Have you ever used AI in school projects?,هل سبق أن استخدمت الذكاء الاصطناعي في مشاريع مدرسية؟,Several times / Once / Would like / No,USAGE_EDUCATION,USAGE_STUDENT
Q4.05,Part 4,High School Students,AI Skills & Confidence,AI influences major choice,Does your knowledge of AI influence your choice of future university major?,هل تؤثر معرفتك بالذكاء الاصطناعي على اختيار تخصصك الجامعي؟,Significantly / Some / No / Undecided,,Students
Q4.07,Part 4,High School Students,AI Skills & Confidence,School role in AI training,How do you rate your school's role in introducing and training you on AI?,كيف تقيّم دور مدرستك في تعريفك وتدريبك على الذكاء الاصطناعي؟,Excellent / Good / Average / Poor / Non-existent,,Students
Q5.03,Part 5,Higher Education Students,AI Usage,AI in university studies,Do you use AI in your university studies?,هل تستخدم الذكاء الاصطناعي في دراستك الجامعية؟,Daily / Weekly / Sometimes / Rarely / Never,USAGE_EDUCATION,USAGE_EDUCATION|USAGE_STUDENT
Q5.04,Part 5,Higher Education Students,AI Usage,Academic purposes of AI,For which academic purposes have you used AI? (multi-select),لأي أغراض أكاديمية استخدمت الذكاء الاصطناعي؟,Search / Summarize / Writing / Translation / Data / Programming / Presentations / Problems,USAGE_EDUCATION,USAGE_EDUCATION|USAGE_STUDENT
Q5.05,Part 5,Higher Education Students,AI Usage,AI in graduation projects,Have you used AI in graduation projects or scientific research?,هل استخدمت الذكاء الاصطناعي في مشاريع التخرج أو البحث العلمي؟,Yes / No,,Students
Q5.06,Part 5,Higher Education Students,Non-use & Barriers,Academic problem from AI,Have you ever faced an academic problem due to using AI (plagiarism/cheating accusation)?,هل واجهت مشكلة أكاديمية بسبب استخدام الذكاء الاصطناعي؟,Yes / No / Prefer not,,Students
Q5.07,Part 5,Higher Education Students,AI Skills & Confidence,University AI courses,Does your university/college offer AI-related courses or workshops?,هل تقدم جامعتك دورات أو ورشاً متعلقة بالذكاء الاصطناعي؟,Regularly / Limited / No / Not sure,,Students
Q5.08,Part 5,Higher Education Students,AI Skills & Confidence,University readiness to train AI,How do you rate your university's readiness to train students to use AI?,كيف تقيّم جاهزية جامعتك لتدريب الطلاب على استخدام الذكاء الاصطناعي؟,Excellent / Good / Average / Poor / Non-existent,,Students
Q5.10,Part 5,Higher Education Students,AI Skills & Confidence,Consider AI career after graduation,Do you consider working in a field related to AI or technology after graduation?,هل تفكر في العمل في مجال مرتبط بالذكاء الاصطناعي أو التقنية بعد التخرج؟,Definitely / Probably / No / Undecided,,Students
Q5.11,Part 5,Higher Education Students,AI Skills & Confidence,Degree prepared for AI-era market,Do you believe your degree adequately prepared you for labour-market requirements in light of AI?,هل تعتقد أن شهادتك أعدتك بشكل كافٍ لمتطلبات سوق العمل في ظل الذكاء الاصطناعي؟,Completely / Some / Neutral / Not really / Not at all,,Students
Q6.01,Part 6,Graduates & Work,AI Skills & Confidence,Degree adequacy for AI-era labour market,Do you believe your degree adequately prepared you to keep up with labour market requirements in light of AI?,هل تعتقد أن شهادتك أعدتك لمواكبة متطلبات سوق العمل في ظل الذكاء الاصطناعي؟,Completely / Some / Neutral / Not really / Not at all,,Graduates
Q6.04,Part 6,Graduates & Work,AI Usage,AI use in current job,How would you describe your use of AI in your current job?,كيف تصف استخدامك للذكاء الاصطناعي في وظيفتك الحالية؟,Daily intensive / Weekly / Sometimes / Rarely / Never,USAGE_WORK,USAGE_WORK|USAGE_EMPLOYEE
Q6.05,Part 6,Graduates & Work,Trust & Perception,AI affected job performance,How has AI affected your job performance?,كيف أثر الذكاء الاصطناعي على أدائك الوظيفي؟,Significantly improved / Some / No impact / Harder / N/A,BENEFIT_JOB,Employees
Q6.06,Part 6,Graduates & Work,AI Skills & Confidence,AI skills increase job chances,Do you believe that mastering AI skills could increase your chances of getting a job?,هل تعتقد أن إتقان مهارات الذكاء الاصطناعي يزيد فرصك في الحصول على وظيفة؟,Very significantly / Some / Maybe / No / Not sure,,USAGE_JOBSEEKER
