source_id,country,country_code,survey_name,institution,field_year,field_period,publication_date,sample_size_total,sample_size_16to29,age_range_covered,survey_mode,methodology,url,access_date,license,fit_level,verification_status,domain_type,notes
EUROSTAT_2025_NO,Norway,NO,EU survey on ICT usage in households and by individuals - Use of generative AI tools,Eurostat (European Commission),2025,Q2 2025 (previous 3 months recall),March-April 2026,National sample (varies by country),,"16-74 (16-24, 16-29, 25-34 bands available)",Mixed national modes (harmonised EU methodology),Nationally representative household sample; harmonised EU ICT methodology; dataset isoc_ai_iaiu,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Use_of_artificial_intelligence_by_individuals,2026-08-19,Eurostat open data (CC BY 4.0),A,verified,europa.eu (official EU),"Exact harmonised figures extracted via Eurostat API (isoc_ai_iaiu), 16-29 band used as closest published band to 16-30 target."
EUROSTAT_2025_SE,Sweden,SE,EU survey on ICT usage in households and by individuals - Use of generative AI tools,Eurostat (European Commission),2025,Q2 2025 (previous 3 months recall),March-April 2026,National sample (varies by country),,"16-74 (16-24, 16-29, 25-34 bands available)",Mixed national modes (harmonised EU methodology),Nationally representative household sample; harmonised EU ICT methodology; dataset isoc_ai_iaiu,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Use_of_artificial_intelligence_by_individuals,2026-08-19,Eurostat open data (CC BY 4.0),A,verified,europa.eu (official EU),"Exact harmonised figures extracted via Eurostat API (isoc_ai_iaiu), 16-29 band used as closest published band to 16-30 target."
EUROSTAT_2025_FI,Finland,FI,EU survey on ICT usage in households and by individuals - Use of generative AI tools,Eurostat (European Commission),2025,Q2 2025 (previous 3 months recall),March-April 2026,National sample (varies by country),,"16-74 (16-24, 16-29, 25-34 bands available)",Mixed national modes (harmonised EU methodology),Nationally representative household sample; harmonised EU ICT methodology; dataset isoc_ai_iaiu,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Use_of_artificial_intelligence_by_individuals,2026-08-19,Eurostat open data (CC BY 4.0),A,verified,europa.eu (official EU),"Exact harmonised figures extracted via Eurostat API (isoc_ai_iaiu), 16-29 band used as closest published band to 16-30 target."
EUROSTAT_2025_DE,Germany,DE,EU survey on ICT usage in households and by individuals - Use of generative AI tools,Eurostat (European Commission),2025,Q2 2025 (previous 3 months recall),March-April 2026,National sample (varies by country),,"16-74 (16-24, 16-29, 25-34 bands available)",Mixed national modes (harmonised EU methodology),Nationally representative household sample; harmonised EU ICT methodology; dataset isoc_ai_iaiu,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Use_of_artificial_intelligence_by_individuals,2026-08-19,Eurostat open data (CC BY 4.0),A,verified,europa.eu (official EU),"Exact harmonised figures extracted via Eurostat API (isoc_ai_iaiu), 16-29 band used as closest published band to 16-30 target."
EUROSTAT_2025_FR,France,FR,EU survey on ICT usage in households and by individuals - Use of generative AI tools,Eurostat (European Commission),2025,Q2 2025 (previous 3 months recall),March-April 2026,National sample (varies by country),,"16-74 (16-24, 16-29, 25-34 bands available)",Mixed national modes (harmonised EU methodology),Nationally representative household sample; harmonised EU ICT methodology; dataset isoc_ai_iaiu,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Use_of_artificial_intelligence_by_individuals,2026-08-19,Eurostat open data (CC BY 4.0),A,verified,europa.eu (official EU),"Exact harmonised figures extracted via Eurostat API (isoc_ai_iaiu), 16-29 band used as closest published band to 16-30 target."
EUROSTAT_2025_EU27,European Union (27),EU27,EU survey on ICT usage in households and by individuals - Use of generative AI tools,Eurostat (European Commission),2025,Q2 2025 (previous 3 months recall),March-April 2026,EU aggregate,,"16-74 (16-24, 16-29, 25-34 bands available)",Mixed national modes (harmonised EU methodology),Nationally representative household sample; harmonised EU ICT methodology; dataset isoc_ai_iaiu,https://ec.europa.eu/eurostat/statistics-explained/index.php?title=Use_of_artificial_intelligence_by_individuals,2026-08-19,Eurostat open data (CC BY 4.0),A,verified,europa.eu (official EU),EU-27 aggregate reference for non-use reasons (all ages 16-74). Not a primary country benchmark.
UK_ONS_2026,United Kingdom,GB,"Public opinions and social trends, Great Britain: artificial intelligence (Opinions and Lifestyle Survey)",Office for National Statistics (ONS),2026,3 to 28 June 2026,17 July 2026,"3,480 adults (16+)",280 (16-29 band),"16+ (16-29, 30-49, 50-69, 70+ bands)",Online and telephone,Probability-weighted OPN panel; Great Britain adults,https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/bulletins/publicopinionsandsocialtrendsgreatbritain/june2026,2026-08-19,Open Government Licence v3.0,A,verified,ons.gov.uk (official),"Values extracted directly from the published companion dataset workbook (Tables 1-8), 16-29 band."
KR_KISDI_2024,South Korea,KR,2024 Intelligent Information Society User Panel Survey,Korea Communications Commission (KCC) & KISDI,2024,2024,2025,"4,420 (aged 15-69)",,15-69,Face-to-face / online,"Nationally representative panel of daily smartphone/internet users, 17 cities/provinces",https://www.kisdi.re.kr/,2026-08-19,Open government data (Korea),B,compiled,kisdi.re.kr (official),"Age band 15-69 (not 16-30); ""ever used GenAI"" (not last-3-months). Adapted item."
SG_PUBLICFIRST_2026,Singapore,SG,Shaping Singapore's AI Era (AI Opportunity - Singapore handout),Public First,2026,March 2026,2026,"1,023 online adults",,Adults (18-24 subgroup reported),Online,"Online survey; weighted via Iterative Proportional Fitting (raking) by age, gender, education and region to nationally representative proportions",https://aiopportunity.publicfirst.co/handouts/2026/Shaping_Singapores_AI_Era.pdf,2026-08-19,Public report (Public First),B,verified,publicfirst.co (research consultancy),"4% non-users -> 96% use AI at least monthly; 29% ""Super Users"" (vs 12% US); 23% of workers not confident using AI; 29% say AI skills essential within 5 years."
SG_IMDA_2024,Singapore,SG,Singapore Digital Economy Report (FY2024/2025) - individual AI usage pulse,Infocomm Media Development Authority (IMDA),2024,2024,2025,Working-individual pulse survey,,Working individuals,Survey,IMDA pulse survey of working individuals,https://www.imda.gov.sg/-/media/imda/files/about/resources/corporate-publications/annual-report/imda-sgde-report-fy2024-2025.pdf,2026-08-19,Government of Singapore,C,compiled,imda.gov.sg (official),"Contextual secondary (work-related use, 73.8% of working individuals). Not the personal-use benchmark."
TW_MASTERCARD_2026,Taiwan,TW,2026 Survey on Consumer AI Usage Habits in Taiwan,Mastercard Taiwan (reported by Focus Taiwan / CNA),2026,1-10 June 2026,3 August 2026,"1,000 adults (18-65)",,18-65 (18-30 subgroup reported),Online,"Online survey n=1,000 adults 18-65; north/central/south sampled 5:2:3 in proportion to population; roughly equal men/women",https://focustaiwan.tw/business/202608030017,2026-08-19,Public reporting (Mastercard Taiwan survey),B,verified,focustaiwan.tw (Central News Agency),"Consumer AI-usage survey (not an NSO). ~70% use AI agents weekly (18-65); 18-30: >40% daily use, 27% paid subscription; 18% overall subscribe."
UK_HEPI_2026,United Kingdom,GB,Student Generative AI Survey (HEPI / Kortext),Higher Education Policy Institute (HEPI) & Kortext,2026,2025/2026 waves,March 2026,"1,054 full-time undergraduates (2026); 1,041 (2025)",,Undergraduates (typically 18-24),Online panel,Weighted online panel of full-time UK undergraduates,https://www.hepi.ac.uk/reports/student-generative-ai-survey-2025/,2026-08-20,Public report (HEPI),B,compiled,hepi.ac.uk (higher-ed policy institute),95% of undergraduates use AI in some form (2026); 88% use GenAI to complete assessments (2025). Student segment (not general population).
